query_position,cached_test_index,public_true_label,class,reference_signed_score,returned_signed_score,exact_match,reference_prediction,returned_prediction
5,240,pending_transfer,pending_card_payment,1769983,1769983,True,pending_card_payment,pending_card_payment
5,240,pending_transfer,pending_transfer,1756535,1756535,True,pending_card_payment,pending_card_payment
5,240,pending_transfer,transfer_not_received_by_recipient,1711818,1711818,True,pending_card_payment,pending_card_payment
5,240,pending_transfer,wrong_amount_of_cash_received,1610758,1610758,True,pending_card_payment,pending_card_payment
6,120,transfer_not_received_by_recipient,card_arrival,1683068,1683068,True,pending_transfer,pending_transfer
6,120,transfer_not_received_by_recipient,cash_withdrawal_charge,1683110,1683110,True,pending_transfer,pending_transfer
6,120,transfer_not_received_by_recipient,card_payment_not_recognised,1727196,1727196,True,pending_transfer,pending_transfer
6,120,transfer_not_received_by_recipient,lost_or_stolen_card,1669696,1669696,True,pending_transfer,pending_transfer
6,120,transfer_not_received_by_recipient,pending_card_payment,1782932,1782932,True,pending_transfer,pending_transfer
6,120,transfer_not_received_by_recipient,pending_transfer,1802364,1802364,True,pending_transfer,pending_transfer
6,120,transfer_not_received_by_recipient,transfer_not_received_by_recipient,1798624,1798624,True,pending_transfer,pending_transfer
6,120,transfer_not_received_by_recipient,wrong_amount_of_cash_received,1711693,1711693,True,pending_transfer,pending_transfer
7,80,wrong_amount_of_cash_received,card_arrival,1603195,1603195,True,wrong_amount_of_cash_received,wrong_amount_of_cash_received
7,80,wrong_amount_of_cash_received,cash_withdrawal_charge,1701688,1701688,True,wrong_amount_of_cash_received,wrong_amount_of_cash_received
7,80,wrong_amount_of_cash_received,card_payment_not_recognised,1708072,1708072,True,wrong_amount_of_cash_received,wrong_amount_of_cash_received
7,80,wrong_amount_of_cash_received,lost_or_stolen_card,1622744,1622744,True,wrong_amount_of_cash_received,wrong_amount_of_cash_received
7,80,wrong_amount_of_cash_received,pending_card_payment,1693690,1693690,True,wrong_amount_of_cash_received,wrong_amount_of_cash_received
7,80,wrong_amount_of_cash_received,pending_transfer,1664780,1664780,True,wrong_amount_of_cash_received,wrong_amount_of_cash_received
7,80,wrong_amount_of_cash_received,transfer_not_received_by_recipient,1683678,1683678,True,wrong_amount_of_cash_received,wrong_amount_of_cash_received
7,80,wrong_amount_of_cash_received,wrong_amount_of_cash_received,1782289,1782289,True,wrong_amount_of_cash_received,wrong_amount_of_cash_received
